groupid;id;Anzahl_Vorhanden
;02d706e1342664d78fdb4040fc5e65c3afd95ce8;2.0
;02db706a385954ef44069139ed384e8c61eebaf3;1.0
;02dc25426ef9fbdef12ab1838ad8ca8d830099f6;27.0
;02dd0c4ac34a8c5ae268a0bce392b78706c20595;1.0
;02e3acd173edc0e593123b678f3a58787b5eaa18;7.0
;02e53d3421fb29df81a1cb129afb78269d542b89;11.0
;02e8cadb4e38265bea304dc73a6244f4424ea3a1;1.0
;02eb2c81edcb5859c157d468926b316ac785dfbc;1.0
;02eb4acf6e4838e88a1880251009c15701cd9195;1.0
;02eb5b51c49f75ec10d9a09edf697a2125da5e01;3.0
;02ec97bd788e3fb8d7483baecc1cb26dea899577;1.0
;02ecb510261d54a9d9baff9c54227a92c49a39c6;4.0
;02eec250ee62c7ee98bb2a427966570008c32d0a;9.0
;02ef6ff2cb67c24e40c77da9fc93c9fcac7a17c4;1.0
;02f4f836dad68d8bf270613919d2949a4b314bd8;1.0
;02f6587ae673ee3bd6c4c5461b28a87918461a8e;5.0
;02f7e9d8b6d5c1aea01ba43c4bf42de97d247013;1.0
;02f936f86dffb3d604cc8b87c25e40f43bc58174;13.0
;02fbb4487aa3f246daa2e45393adb2c1e83fc8b0;1.0
;0300de804773fb895da996605917744c6b2aa524;11.0
;030393458eb325adbbb2cedefc81019e7831c7dc;7.0
;0303c61bb63742e8bb0ffea1c9211893fd738884;1.0
;0303efe53a9743b10fba7dcbe08bcc512efae433;6.0
;030c5677791bb3794c47bdfde03cdf87e56f74de;1.0
;030f71599c5f5f32e3317ea852cb620c7856612d;32.0
;03121c7879bff506feb0d19524c8a827677d5b98;1.0
;0314208a2af63eff21231bb2a220128a3765e708;2.0
;031542d2be43bd61aae7409ee9caa1f5276aafe6;1.0
;0317c01a2129c8b24a70f52be5f44258e11a30f7;5.0
;031a86cc605e889a85cabe78aece4d769baee99e;16.0
;031b91c23306237f957129f1fa46b97bec04bb34;1.0
;031e96bca55c1954223a35e9d092327f3fbd8ecb;9.0
;03200aaff2abf6b1e49339403912e0acecb417d4;1.0
;032347ee91b45a66ac3b853dd4ba4dc1f5d87ad6;21.0
;0329d6f2482052e1d5c54bff0ae3e42a726356d0;16.0
;032a0345eebb94f20614a090646200edc94db7af;9.0
;03304a682b5c12106fda14cd7a329c5c2577eedb;1.0
;033508074486452cf54a6a546aaf7f432a5a3884;3.0
;033b6c38d60400f370e2345c8475b4ccd469b237;1.0
;033c9f552f454e344dc87767662f7ba50211472c;1.0
;03402bfcbb491ddb18d49bd06cbe050beb76e044;13.0
;03404fb1ce690178353ed7739886ec3cbec54c74;3.0
;0345f177cbd3eacdce4e99e49bcc93e814d659fa;2.0
;034907673cf3dfd972e96b98b45ce44b869abe48;1.0
;034e7afc5e90dde5a73b456bea2e2a97a86c2914;1.0
;03520ba4dd8d85fedec55bc8f5e3b7109f712a0c;1.0
;0357b7faad7ccb924fe0d6e1dbfd6f7cee501497;17.0
;035d09cca3049bf1ffdd2e60b3f9c561033f18f9;5.0
;0365a787375bfe0e78c563dd5e65a0504de565a2;1.0
;036907ed8634f4f7feaf09f6eb7d4d1d3a5c1145;1.0
;036b0249fc2b3fb17d3b402e43e34be495291860;15.0
;037926b381eed894bbf08fcebec2607a85a3d8c7;9.0
;037a004c509e8bc6647235a0c7f02003cd817488;2.0
;037a2f3638a9e3a63518e1d7a9e45c0fa926a98a;1.0
;037a3eec339c0d81dffbfe904d17ed2c35f2a751;3.0
;037cf2694f6780221936ebd047b206836ea0be69;3.0
;037dab4ae2f2e01058d50b7deb367cd12a5143ce;2.0
;0380d9e5d9eec081dc7f6aa4a0c536692dce8971;1.0
;0380e79d5aef0ff9b5748052e4de0b6b0ff7b372;1.0
;03836c6fcbb40347c32365e82e891cde3a78564b;16.0
;03846d68603f2bb2f81e7bd6303a3691c469565e;34.0
;038cfa61955d844550b6059ac42465b43c79fda8;1.0
;039316d3fa950ff04c099accefbbb516a02e88d4;7.0
;039c92d4178730ccea0863e1d8cbdd81de5828d4;18.0
;039d57b21a0f124a786fcfa0f2e9a049aa918da6;1.0
;039df5160082b15d6fe24e8a0e2266795331123f;1.0
;03a0a9dc9ff16f58c15778792caaa63ba4eb90e9;4.0
;03a1e7ccd27c6f8aa9bc9110c886b832bed3584f;1.0
;03a330cc548ecba4e44daf282687fc47d72af534;16.0
;03a795d90d806a48edce8c3a4e5ffa40c147cf0a;1.0
